Sr No,Company Name,NSE/BSE Ticker,Exchange Index,SME Type,Sector,Industry,Theme,Loan Taken,Estimated Total Debt (Cr),Estimated Market Cap (Cr),Data Source,Note
128,Suryalakshmi Cotton Mills,SURYALAKSH,NSE Emerge,NSE Emerge,Textiles,Cotton Textile,Yarn Manufacturing,Yes,145.0,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
129,Rupa & Company,RUPA,NSE Emerge,NSE Emerge,Textiles,Innerwear,Hosiery,Yes,120.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
130,Shree Tirupati Balajee Agro,STBAL,BSE SME,BSE SME,Packaging,FIBC Bags,Agri & Industrial Packaging,Yes,55.0,380,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
131,Kanpur Plastipack,KANPLAS,BSE SME,BSE SME,Packaging,PP Woven Sacks,Packaging,Yes,28.5,95,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
132,Sah Polymers,SAHPOL,NSE Emerge,NSE Emerge,Packaging,FIBC Bags,Flexible Packaging,Yes,35.0,180,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
133,Polyplex Corporation,POLYPLEX,NSE Emerge,NSE Emerge,Packaging,PET Films,Flexible Films,Yes,850.0,4500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
134,Cosmo Films,COSMOFILM,NSE Emerge,NSE Emerge,Packaging,BOPP Films,Specialty Films,Yes,680.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
135,Uflex,UFLEX,NSE Emerge,NSE Emerge,Packaging,Flexible Packaging,Packaging Solutions,Yes,2800.0,4200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
136,Huhtamaki India,HUHTAMAKI,NSE Emerge,NSE Emerge,Packaging,Paper Packaging,Sustainable Packaging,Yes,120.0,950,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
137,Mold-Tek Packaging,MOLDTKPAC,NSE Emerge,NSE Emerge,Packaging,Rigid Packaging,IML Containers,Yes,185.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
138,Time Technoplast,TIMETECHNO,NSE Emerge,NSE Emerge,Packaging,Industrial Packaging,Polymer Products,Yes,485.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
139,Hitech Corporation,HITECH,BSE SME,BSE SME,Packaging,Tin Containers,Metal Packaging,Yes,22.0,85,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
140,JG Chemicals,JGCHEM,NSE Emerge,NSE Emerge,Materials,Zinc Oxide,Specialty Chemicals,Yes,45.0,380,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
141,Tatva Chintan Pharma,TATVA2,NSE Emerge,NSE Emerge,Materials,SDAs & PhTCs,Specialty Chem,Yes,28.5,1600,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
142,Archit Organosys,ARCHIT,NSE Emerge,NSE Emerge,Materials,Agro Chemicals,Specialty Chem,Yes,32.0,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
143,Clean Science Technology,CLEAN,NSE Emerge,NSE Emerge,Materials,Performance Chem,Green Chemistry,No,0.0,4500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
144,Neogen Chemicals,NEOGEN,NSE Emerge,NSE Emerge,Materials,Lithium Chem,Battery Chemicals,Yes,95.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
145,Anupam Rasayan,ANUPAMRAS,NSE Emerge,NSE Emerge,Materials,Custom Synthesis,CRAMS Chemicals,Yes,285.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
146,Sudarshan Chemical,SUDARSCHEM,NSE Emerge,NSE Emerge,Materials,Pigments,Color & Effect,Yes,620.0,3200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
147,Ami Organics,AMIORG,NSE Emerge,NSE Emerge,Materials,Pharma Intermediates,Specialty Pharma Chem,Yes,65.0,2200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
148,Chemplast Sanmar,CHEMPLASTS,NSE Emerge,NSE Emerge,Materials,PVC & Specialty,Specialty PVC,Yes,1850.0,3800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
149,Paushak Limited,PAUSHAK,NSE Emerge,NSE Emerge,Materials,Phosgene Chem,Specialty Chem,No,0.0,2200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
150,Fine Organics,FINEORG,NSE Emerge,NSE Emerge,Materials,Oleo Chemicals,Food Additives,No,0.0,9800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
151,Vinati Organics,VINATIORGA,NSE Emerge,NSE Emerge,Materials,ATBS & IBB,Specialty Monomer,No,0.0,12500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
152,Aarti Industries,AARTIIND,NSE Emerge,NSE Emerge,Materials,Benzene Derivatives,Specialty Chem,Yes,2800.0,15000,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
153,SRF Limited,SRF,NSE Emerge,NSE Emerge,Materials,Fluoro Chemicals,Specialty Flouro,Yes,3800.0,35000,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
154,Deepak Nitrite,DEEPAKNTR,NSE Emerge,NSE Emerge,Materials,Nitro Aromatics,Fine & Spec Chem,Yes,580.0,18500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
155,Landmark Cars,LANDMARC,NSE Emerge,NSE Emerge,Automobile,Auto Dealership,Luxury Cars,Yes,420.0,1500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
156,Minda Corporation,MINDACORP,NSE Emerge,NSE Emerge,Automobile,Auto Ancillary,Auto Components,Yes,580.0,4200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
157,Suprajit Engineering,SUPRAJIT,NSE Emerge,NSE Emerge,Automobile,Auto Cables,2W & 4W Cables,Yes,285.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
158,Rane Holdings,RANE,NSE Emerge,NSE Emerge,Automobile,Auto Ancillary,Steering Systems,Yes,450.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
159,Bharat Forge,BHARATFORG,NSE Emerge,NSE Emerge,Automobile,Forgings,Auto & Defense,Yes,3800.0,28000,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
160,CIE Automotive India,CIEINDIA,NSE Emerge,NSE Emerge,Automobile,Auto Components,Forgings,Yes,280.0,6500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
161,Wheels India,WHEELS,NSE Emerge,NSE Emerge,Automobile,Steel Wheels,CV Wheels,Yes,185.0,950,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
162,Exide Industries,EXIDEIND,NSE Emerge,NSE Emerge,Automobile,Batteries,Lead Acid Battery,Yes,580.0,18500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
163,Amara Raja Energy,AMARAJAB,NSE Emerge,NSE Emerge,Automobile,Batteries,Storage Solutions,Yes,650.0,14500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
164,Minda Industries,MINDAIND,NSE Emerge,NSE Emerge,Automobile,Lighting & Switches,Auto Electricals,Yes,850.0,9500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
165,Sharda Motor Industries,SHARDAMOTR,NSE Emerge,NSE Emerge,Automobile,Exhaust Systems,Auto Components,Yes,95.0,850,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
166,Ramkrishna Forgings,RKFORGE,NSE Emerge,NSE Emerge,Automobile,Steel Forgings,CV Components,Yes,580.0,3800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
167,JBM Auto,JBMA,NSE Emerge,NSE Emerge,Automobile,Stampings & EV Bus,Auto & EV,Yes,1200.0,5500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
168,Sona BLW Precision,SONACOMS,NSE Emerge,NSE Emerge,Automobile,EV Components,Driveline,Yes,380.0,18500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
169,Craftsman Automation,CRAFTSMAN,NSE Emerge,NSE Emerge,Automobile,Machined Components,Precision Mfg,Yes,620.0,3800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
170,Maxposure,MAXPOSURE,BSE SME,BSE SME,Media,Airport Media,OOH Advertising,Yes,18.5,150,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
171,Digikore Studios,DIGIKORE2,BSE SME,BSE SME,Media,VFX,Post Production,Yes,4.5,95,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
172,UFO Moviez,UFOMOVIZ,NSE Emerge,NSE Emerge,Media,Digital Cinema,Cinema Tech,Yes,185.0,650,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
173,Nazara Technologies,NAZARA,NSE Emerge,NSE Emerge,Media,Gaming,Mobile Gaming,No,0.0,3800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
174,Saregama India,SAREGAMA,NSE Emerge,NSE Emerge,Media,Music Label,IP & Streaming,No,0.0,8500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
175,Shemaroo Entertainment,SHEMAROO,NSE Emerge,NSE Emerge,Media,Content IP,OTT & TV,Yes,280.0,650,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
176,Tips Industries,TIPS,NSE Emerge,NSE Emerge,Media,Music,Music Streaming,No,0.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
177,PVR Inox,PVRINOX,NSE Emerge,NSE Emerge,Media,Multiplex,Entertainment,Yes,1850.0,8500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
178,Inox Leisure,INOXLEISUR,NSE Emerge,NSE Emerge,Media,Multiplex,Cinema Exhibition,Yes,850.0,4200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
179,Zee Entertainment,ZEEL,NSE Emerge,NSE Emerge,Media,Broadcast TV,GEC Channel,Yes,380.0,9500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
180,Updater Services (UDS),UDS,NSE Emerge,NSE Emerge,Industrials,IFM & Staffing,Facility Management,Yes,145.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
181,Mahindra Logistics,MAHLOG,NSE Emerge,NSE Emerge,Logistics,3PL Logistics,Supply Chain,Yes,285.0,3200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
182,Allcargo Logistics,ALLCARGO,NSE Emerge,NSE Emerge,Logistics,LCL & CFS,Multimodal Logistics,Yes,850.0,5500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
183,TCI Express,TCIEXP,NSE Emerge,NSE Emerge,Logistics,Surface Express,Express Logistics,No,0.0,3800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
184,Gati Limited,GATI,NSE Emerge,NSE Emerge,Logistics,Express Distribution,E-Commerce Logistics,Yes,380.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
185,VRL Logistics,VRLLOG,NSE Emerge,NSE Emerge,Logistics,Road Transport,Goods Transport,Yes,285.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
186,Delhivery,DELHIVERY,NSE Emerge,NSE Emerge,Logistics,Tech Logistics,Ecomm Delivery,Yes,380.0,12500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
187,Xpressbees,XPRESSBEE,BSE SME,BSE SME,Logistics,Last Mile,Delivery Aggregator,Yes,180.0,980,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
188,Om Logistics,OMLOG,BSE SME,BSE SME,Logistics,Road Freight,Bulk Transport,Yes,95.0,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
189,Snowman Logistics,SNOWMAN,NSE Emerge,NSE Emerge,Logistics,Cold Chain,Temperature Logistics,Yes,145.0,750,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
190,Gopal Snacks (Gujarat),GOPAL2,BSE SME,BSE SME,Agriculture,Namkeen & Snacks,Ethnic Food,Yes,45.0,480,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
191,Sugarmill Industries,SUGARMILL2,BSE SME,BSE SME,Agriculture,Sugar Milling,Sugar & Ethanol,Yes,85.0,145,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
192,Mahindra AgriSolutions,MAHAGRI,BSE SME,BSE SME,Agriculture,Agri Tech,Precision Farming,Yes,22.0,180,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
193,Rajshree Sugars,RAJSHREESUG,NSE Emerge,NSE Emerge,Agriculture,Sugar,Sugar & Co-gen,Yes,380.0,650,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
194,Balrampur Chini,BALRAMCHIN,NSE Emerge,NSE Emerge,Agriculture,Sugar,Sugar & Ethanol,Yes,580.0,8500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
195,Avanti Feeds,AVANTIFEED,NSE Emerge,NSE Emerge,Agriculture,Shrimp Feed,Aquaculture,No,0.0,3800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
196,Godrej Agrovet,GODREJAGROVET,NSE Emerge,NSE Emerge,Agriculture,Animal Feed,Diversified Agri,Yes,850.0,6500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
197,Kaveri Seed Company,KSCL,NSE Emerge,NSE Emerge,Agriculture,Hybrid Seeds,Agri Inputs,No,0.0,3200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
198,PI Industries,PIIND,NSE Emerge,NSE Emerge,Agriculture,Agro Chem,CSM Agri,Yes,285.0,48000,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
199,Rallis India,RALLIS,NSE Emerge,NSE Emerge,Agriculture,Agro Chemicals,Crop Protection,Yes,120.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
200,NCC Limited,NCC,NSE Emerge,NSE Emerge,Infrastructure,Civil Construction,Roads & Buildings,Yes,1850.0,9800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
201,KNR Constructions,KNRCON,NSE Emerge,NSE Emerge,Infrastructure,Roads & Irrigation,HAM Projects,Yes,380.0,5500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
202,HG Infra Engineering,HGINFRA,NSE Emerge,NSE Emerge,Infrastructure,Roads,Highway Construction,Yes,620.0,4800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
203,RITES Limited,RITES,NSE Emerge,NSE Emerge,Infrastructure,Consulting,Transport Infra,No,0.0,5800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
204,IRCON International,IRCON,NSE Emerge,NSE Emerge,Infrastructure,Railways,Rail & Road,Yes,380.0,6500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
205,G R Infraprojects,GRINFRA,NSE Emerge,NSE Emerge,Infrastructure,Roads,HAM & EPC,Yes,1850.0,6800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
206,PNC Infratech,PNCINFRA,NSE Emerge,NSE Emerge,Infrastructure,Roads,Highway EPC,Yes,580.0,4200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
207,Gawar Construction,GAWAR,BSE SME,BSE SME,Infrastructure,Roads,National Highways,Yes,485.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
208,Capacit'e Infraprojects,CAPACITE,NSE Emerge,NSE Emerge,Infrastructure,Buildings,Urban Construction,Yes,380.0,850,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
209,Man Infraconstruction,MANINFRA,NSE Emerge,NSE Emerge,Infrastructure,Civil Works,Port & Urban,Yes,120.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
210,Ahluwalia Contracts,AHLUCONT,NSE Emerge,NSE Emerge,Infrastructure,Buildings,Institutional Buildings,Yes,95.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
211,BL Kashyap,BLK,NSE Emerge,NSE Emerge,Infrastructure,Buildings,Commercial Buildings,Yes,145.0,580,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
212,ITD Cementation,ITDCEM,NSE Emerge,NSE Emerge,Infrastructure,Marine & Metro,Specialty Civil,Yes,285.0,3200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
213,Dilip Buildcon,DBL,NSE Emerge,NSE Emerge,Infrastructure,Roads,Road HAM,Yes,3800.0,4500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
214,Ashoka Buildcon,ASHOKA,NSE Emerge,NSE Emerge,Infrastructure,BOT Roads,Toll Roads,Yes,2800.0,3800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
215,Kcal World,KCAL,BSE SME,BSE SME,Consumer,Health Supplements,Nutraceuticals,Yes,8.5,65,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
216,Jio-BP,JIOBP,BSE SME,BSE SME,Energy,Fuel Retail,EV Charging + Fuel,Yes,45.0,185,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
217,Alpex Solar,ALPEXSOLAR,BSE SME,BSE SME,Energy,Solar Modules,Module Manufacturing,Yes,18.5,120,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
218,Bright Solar,BRIGHTSOL,BSE SME,BSE SME,Energy,Solar EPC,Rooftop Solar,Yes,12.0,85,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
219,Nova AgriTech,NOVAAGRI,NSE Emerge,NSE Emerge,Agriculture,Agri Inputs,Specialty Fertilizers,Yes,22.5,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
220,Manorama Industries,MANORAMA,BSE SME,BSE SME,Agriculture,Kokum Butter,Specialty Oils,No,0.0,85,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
221,Supriya Lifescience,SUPRIYA,NSE Emerge,NSE Emerge,Healthcare,API,Active Pharma Ingredients,Yes,35.0,650,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
222,Zaggle Fintech,ZAGGLE2,BSE SME,BSE SME,Technology,SaaS Fintech,Spend Management,No,0.0,850,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
223,ASK Automotive,ASKAUTOM,NSE Emerge,NSE Emerge,Automobile,2W Braking,2W Components,Yes,145.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
224,Kalyani Steels,KALYANISL,NSE Emerge,NSE Emerge,Materials,Alloy Steel,Automotive Steel,Yes,480.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
225,Bansal Wire Industries,BANSAL,NSE Emerge,NSE Emerge,Materials,Steel Wire,Wire Products,Yes,580.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
226,Gala Precision Engineering,GALA,BSE SME,BSE SME,Industrials,Springs,Precision Springs,Yes,22.0,185,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
227,Euro India Fresh Foods,EUROIND,BSE SME,BSE SME,Consumer,Bakery,Artisan Breads,Yes,5.5,45,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
228,Allied Blenders & Distillers,ABD,NSE Emerge,NSE Emerge,Consumer,IMFL,Whisky & Spirits,Yes,680.0,3800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
229,NSLNISP,NSLNISP,BSE SME,BSE SME,Industrials,Steel,Long Steel Products,Yes,380.0,485,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
230,Cigniti Technologies,CIGNITI,NSE Emerge,NSE Emerge,Technology,Testing Services,Software QA,Yes,85.0,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
231,Kellton Tech Solutions,KELLTON,NSE Emerge,NSE Emerge,Technology,SAP & IoT,Enterprise IT,Yes,55.0,650,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
232,Mastech Digital,MASTECH,NSE Emerge,NSE Emerge,Technology,IT Staffing,Digital Transformation,Yes,22.0,580,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
233,KPIT Technologies,KPITTECH,NSE Emerge,NSE Emerge,Technology,Automotive Software,Auto Tech,Yes,35.0,22000,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
234,Newgen Software,NEWGEN,NSE Emerge,NSE Emerge,Technology,BPM & ECM,Process Automation,No,0.0,6500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
235,Data Patterns India,DATAPATT,NSE Emerge,NSE Emerge,Defense,Defence Electronics,Radar & Avionics,Yes,28.5,4800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
236,MTAR Technologies,MTAR,NSE Emerge,NSE Emerge,Defense,Precision Products,Space & Nuclear,Yes,85.0,3200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
237,Paras Defence,PARASDEF,NSE Emerge,NSE Emerge,Defense,Defense Optics,Defense Systems,Yes,45.0,1200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
238,Astra Microwave,ASTRAMICRO,NSE Emerge,NSE Emerge,Defense,Microwave Products,Defense RF,Yes,38.5,1800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
239,Bharat Dynamics,BDL,NSE Emerge,NSE Emerge,Defense,Missiles,Guided Weapons,No,0.0,35000,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
240,Zen Technologies,ZENTEC,NSE Emerge,NSE Emerge,Defense,Training Simulators,Defense Training,No,0.0,3800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
241,Apollo Micro Systems,APOLLO,NSE Emerge,NSE Emerge,Defense,Defense Electronics,Electronic Systems,Yes,45.0,850,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
242,Anant Raj,ANANTRAJ,NSE Emerge,NSE Emerge,Defense,IT & RE,Data Centers,Yes,580.0,8500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
243,DCX Systems,DCX,NSE Emerge,NSE Emerge,Defense,Cable Harness,Aerospace Cables,Yes,85.0,850,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
244,Sansera Engineering,SANSERA,NSE Emerge,NSE Emerge,Defense,Precision Mfg,Aerospace Components,Yes,380.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
245,Campus Activewear,CAMPUS,NSE Emerge,NSE Emerge,Consumer,Sports Footwear,Athleisure,Yes,85.0,2800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
246,Global Education (GEDU),GEDU,BSE SME,BSE SME,Education,K-12 Schools,Education Services,Yes,45.0,180,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
247,Zee Learn,ZEELEARN,NSE Emerge,NSE Emerge,Education,K-12 Education,Preschool Chain,Yes,120.0,280,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
248,Brainbees Solutions (FirstCry),BRAINBEES,NSE Emerge,NSE Emerge,Education,Kids Retail,Baby & Kids,Yes,380.0,9800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
249,MT Educare,MTEDUCARE,BSE SME,BSE SME,Education,Coaching,Test Prep,Yes,15.5,85,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
250,Centum Learning,CENTENIAL,BSE SME,BSE SME,Education,Corporate Training,L&D,Yes,8.5,55,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
251,Schoolnet India,SCHOOLNET,BSE SME,BSE SME,Education,EdTech,Digital Education,Yes,12.0,75,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
252,Everonn Education,EVERONN,BSE SME,BSE SME,Education,ICT Education,Smart Classrooms,Yes,22.0,65,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
253,Sterlite Technologies,STRTECH,NSE Emerge,NSE Emerge,Technology,Optical Fibre,Digital Networks,Yes,1850.0,4800,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
254,HFCL,HFCL,NSE Emerge,NSE Emerge,Technology,Optical Cables & Telecom,Telecom Infra,Yes,1200.0,4500,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
255,Tejas Networks,TEJASNET,NSE Emerge,NSE Emerge,Technology,Optical Networking,5G & Telecom,Yes,145.0,4200,yfinance / Curated SME Data,Balance sheet data sourced from public disclosures; fetch live data using ticker in yfinance
